planet_name,NOBS,REF,RMS,URL
11 Com b,46.0,Liu 2008,25.5,http://adsabs.harvard.edu/abs/2008ApJ...672..553L
11 UMi b,58.0,Dollinger 2009,28.0,http://adsabs.harvard.edu/abs/2009A%26A...505.1311D
14 And b,34.0,Sato 2008,20.3,http://adsabs.harvard.edu/abs/2008PASJ...60.1317S
14 Her b,49.0,Wittenmeyer 2007,5.6,http://adsabs.harvard.edu/abs/2007ApJ...654..625W
16 Cyg B b,95.0,Butler 2006,7.3,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
18 Del b,51.0,Sato 2008,15.5,http://adsabs.harvard.edu/abs/2008PASJ...60..539S
24 Sex b,24.0,Johnson 2011,4.8,http://adsabs.harvard.edu/abs/2011AJ....141...16J
24 Sex c,24.0,Johnson 2011,6.8,http://adsabs.harvard.edu/abs/2011AJ....141...16J
30 Ari B b,,Guenther 2009,40.0,http://adsabs.harvard.edu/abs/2009A%26A...507.1659G
4 Uma b,,Dollinger 2007,28.8,http://adsabs.harvard.edu/abs/2007A%26A...472..649D
42 Dra b,39.0,Dollinger 2009,26.0,http://adsabs.harvard.edu/abs/2009A%26A...499..935D
47 Uma b,,Gregory 2010,6.5,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G
47 Uma c,,Gregory 2010,6.5,http://adsabs.harvard.edu/abs/2010MNRAS.403..731G
47 Uma d,,,,
51 Peg b,256.0,Butler 2006,7.0,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
55 Cnc b,663.0,Endl 2012,7.55,http://adsabs.harvard.edu/abs/2012ApJ...759...19E
55 Cnc c,6663.0,Endl 2012,7.55,http://adsabs.harvard.edu/abs/2012ApJ...759...19E
55 Cnc d,663.0,Endl 2012,7.55,http://adsabs.harvard.edu/abs/2012ApJ...759...19E
55 Cnc f,663.0,Endl 2012,7.55,http://adsabs.harvard.edu/abs/2012ApJ...759...19E
6 Lyn b,30.0,Bowler 2010,,http://adsabs.harvard.edu/abs/2010ApJ...709..396B
61 Vir b,,Vogt 2010,2.17,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V
61 Vir c,,Vogt 2010,2.17,http://adsabs.harvard.edu/abs/2010ApJ...708.1366V
