star,Fe/H,Ms_padova,Ms_basti
16 Cyg B,0.13,1.04,0.99
30 Ari B,-0.03,1.21,1.21
47 Uma,0.02,1.04,1.04
51 Peg,0.2,1.06,1.01
61 Vir,0.07,0.98,0.95
70 Vir,0.01,1.11,1.09
GJ 3021,-0.05,0.93,0.91
GJ 785,0.08,0.84,0.82
GJ 86,-0.09,0.86,0.84
HD 10180,0.03,1.07,1.05
HD 102117,0.28,1.04,1.0
HD 102365,-0.27,0.93,0.93
HD 103774,0.17,1.35,1.32
HD 106252,-0.06,1.04,1.03
HD 106270,0.1,1.35,1.42
HD 10647,-0.1,1.13,1.16
HD 10697,0.2,1.13,1.11
HD 108147,0.03,1.18,1.18
HD 108341,0.17,0.86,0.85
HD 10844,-0.12,1.01,1.0
HD 108874,0.2,0.96,0.94
HD 109271,0.08,1.04,1.01
HD 109749,0.17,1.06,1.01
HD 110833,0.03,0.81,0.78
HD 111232,-0.38,0.89,0.85
HD 112758,-0.33,0.82,0.81
HD 113337,0.09,1.39,1.4
HD 114729,-0.33,1.02,1.0
HD 114762,-0.74,0.87,0.88
HD 114783,0.22,0.86,0.83
HD 11506,0.25,1.24,1.24
HD 117207,0.14,1.01,0.96
HD 117618,0.04,1.09,1.07
HD 121504,0.09,1.14,1.12
HD 125612,0.22,1.13,1.1
HD 126525,-0.1,0.96,0.93
HD 127506,-0.23,0.71,0.7
HD 129445,0.38,1.02,0.97
HD 130322,0.01,0.93,0.9
HD 131664,0.23,1.07,1.01
HD 132032,0.16,1.14,1.1
HD 133131 A,-0.4,,
HD 133131 B,-0.42,0.91,0.91
HD 134060,0.01,1.06,1.04
HD 134113,-0.65,0.91,0.9
HD 134169,-0.76,0.91,0.92
HD 134987,0.31,1.07,1.05
HD 136352,-0.27,0.98,0.94
HD 137388,0.14,0.84,0.82
HD 137510,0.47,1.44,1.46
HD 13808,-0.08,0.81,0.8
HD 13908,-0.02,1.31,1.23
HD 13931,0.06,1.06,1.02
HD 140913,-0.01,1.07,1.08
HD 141937,0.19,1.09,1.06
HD 142,0.06,1.25,1.25
HD 142022 A,0.24,,
HD 142415,0.1,1.09,1.08
HD 143105,0.08,1.31,1.31
HD 143361,0.3,0.96,0.92
HD 14348,0.24,1.32,1.22
HD 143761,-0.17,1.02,1.0
HD 145377,-0.01,1.09,1.09
HD 1461,0.19,1.04,0.99
HD 14651,0.07,0.94,0.9
HD 147018,0.13,0.93,0.89
HD 147513,-0.07,1.04,1.03
HD 147873,0.31,1.43,1.49
HD 148156,0.24,1.21,1.18
HD 149026,0.31,1.3,1.29
HD 150433,-0.33,0.91,0.91
HD 150706,-0.17,1.04,1.03
HD 152079,0.28,1.06,1.04
HD 153950,0.11,1.24,1.22
HD 154345,-0.15,0.91,0.9
HD 154697,0.14,0.99,0.98
HD 154857,-0.2,1.23,1.28
HD 155358,-0.64,0.92,0.93
HD 156411,-0.05,1.27,1.28
HD 157172,0.21,0.96,0.91
HD 159243,0.02,1.13,1.12
HD 159868,-0.06,1.19,1.21
HD 160508,0.04,1.31,1.31
HD 16141,0.02,1.07,1.06
HD 16175,0.29,1.29,1.21
HD 162004,-0.1,1.14,1.17
HD 162020,-0.24,0.74,0.74
HD 16417,0.15,1.13,1.09
HD 164427,0.09,1.1,1.08
HD 164509,0.23,1.18,1.14
HD 164595,-0.16,0.96,0.97
HD 164604,0.12,0.76,0.76
HD 165155,0.29,0.94,0.92
HD 1666,0.3,1.43,1.44
HD 166724,0.07,0.82,0.83
HD 16702,-0.25,0.98,0.94
HD 167215,-0.41,1.09,1.07
HD 16760,0.01,0.99,0.99
HD 167665,-0.18,1.14,1.17
HD 168443,0.09,1.04,1.0
HD 168746,0.0,0.94,0.92
HD 169830,0.23,1.4,1.42
HD 170469,0.31,1.13,1.1
HD 171028,-0.52,,
HD 171238,0.14,0.91,0.88
HD 17289,-0.11,1.06,1.07
HD 174457,-0.11,1.04,1.04
